season,round,constructor,constructor_points,constructor_wins,constructor_standings_pos
2014,1,mclaren,33.0,0,1
2014,1,mercedes,25.0,1,2
2014,1,ferrari,18.0,0,3
2014,1,williams,10.0,0,4
2014,1,force_india,9.0,0,5
2014,1,toro_rosso,6.0,0,6
2014,1,sauber,0.0,0,7
2014,1,marussia,0.0,0,8
2014,1,lotus_f1,0.0,0,9
2014,1,caterham,0.0,0,10
2014,1,red_bull,0.0,0,11
2014,2,mercedes,68.0,2,1
2014,2,mclaren,43.0,0,2
2014,2,ferrari,30.0,0,3
2014,2,williams,20.0,0,4
2014,2,force_india,19.0,0,5
2014,2,red_bull,15.0,0,6
2014,2,toro_rosso,7.0,0,7
2014,2,sauber,0.0,0,8
2014,2,lotus_f1,0.0,0,9
2014,2,caterham,0.0,0,10
2014,2,marussia,0.0,0,11
2014,3,mercedes,111.0,3,1
2014,3,force_india,44.0,0,2
2014,3,mclaren,43.0,0,3
2014,3,red_bull,35.0,0,4
2014,3,ferrari,33.0,0,5
2014,3,williams,30.0,0,6
2014,3,toro_rosso,7.0,0,7
2014,3,lotus_f1,0.0,0,8
2014,3,sauber,0.0,0,9
2014,3,marussia,0.0,0,10
2014,3,caterham,0.0,0,11
2014,4,mercedes,154.0,4,1
2014,4,red_bull,57.0,0,2
2014,4,force_india,54.0,0,3
2014,4,ferrari,52.0,0,4
2014,4,mclaren,43.0,0,5
2014,4,williams,36.0,0,6
2014,4,toro_rosso,8.0,0,7
2014,4,lotus_f1,0.0,0,8
2014,4,sauber,0.0,0,9
2014,4,marussia,0.0,0,10
2014,4,caterham,0.0,0,11
2014,5,mercedes,197.0,5,1
2014,5,red_bull,84.0,0,2
2014,5,ferrari,66.0,0,3
2014,5,force_india,57.0,0,4
2014,5,williams,46.0,0,5
2014,5,mclaren,43.0,0,6
2014,5,toro_rosso,8.0,0,7
2014,5,lotus_f1,4.0,0,8
2014,5,sauber,0.0,0,9
2014,5,marussia,0.0,0,10
2014,5,caterham,0.0,0,11
2014,6,mercedes,240.0,6,1
2014,6,red_bull,99.0,0,2
2014,6,ferrari,78.0,0,3
2014,6,force_india,67.0,0,4
2014,6,mclaren,52.0,0,5
2014,6,williams,52.0,0,6
2014,6,lotus_f1,8.0,0,7
2014,6,toro_rosso,8.0,0,8
2014,6,marussia,2.0,0,9
2014,6,sauber,0.0,0,10
2014,6,caterham,0.0,0,11
2014,7,mercedes,258.0,6,1
2014,7,red_bull,139.0,1,2
2014,7,ferrari,87.0,0,3
2014,7,force_india,77.0,0,4
2014,7,mclaren,66.0,0,5
2014,7,williams,58.0,0,6
2014,7,toro_rosso,12.0,0,7
2014,7,lotus_f1,8.0,0,8
2014,7,marussia,2.0,0,9
2014,7,sauber,0.0,0,10
2014,7,caterham,0.0,0,11
2014,8,mercedes,301.0,7,1
2014,8,red_bull,143.0,1,2
2014,8,ferrari,98.0,0,3
2014,8,force_india,87.0,0,4
2014,8,williams,85.0,0,5
2014,8,mclaren,72.0,0,6
2014,8,toro_rosso,12.0,0,7
2014,8,lotus_f1,8.0,0,8
2014,8,marussia,2.0,0,9
2014,8,sauber,0.0,0,10
2014,8,caterham,0.0,0,11
2014,9,mercedes,326.0,8,1
2014,9,red_bull,168.0,1,2
2014,9,ferrari,106.0,0,3
2014,9,williams,103.0,0,4
2014,9,force_india,91.0,0,5
2014,9,mclaren,90.0,0,6
2014,9,toro_rosso,15.0,0,7
2014,9,lotus_f1,8.0,0,8
2014,9,marussia,2.0,0,9
2014,9,sauber,0.0,0,10
2014,9,caterham,0.0,0,11
2014,10,mercedes,366.0,9,1
2014,10,red_bull,188.0,1,2
2014,10,williams,121.0,0,3
2014,10,ferrari,116.0,0,4
2014,10,force_india,98.0,0,5
2014,10,mclaren,96.0,0,6
2014,10,toro_rosso,15.0,0,7
2014,10,lotus_f1,8.0,0,8
2014,10,marussia,2.0,0,9
2014,10,sauber,0.0,0,10
2014,10,caterham,0.0,0,11
2014,11,mercedes,393.0,9,1
2014,11,red_bull,219.0,2,2
2014,11,ferrari,142.0,0,3
2014,11,williams,135.0,0,4
2014,11,force_india,98.0,0,5
2014,11,mclaren,97.0,0,6
2014,11,toro_rosso,17.0,0,7
2014,11,lotus_f1,8.0,0,8
2014,11,marussia,2.0,0,9
2014,11,sauber,0.0,0,10
2014,11,caterham,0.0,0,11
2014,12,mercedes,411.0,9,1
2014,12,red_bull,254.0,3,2
2014,12,ferrari,160.0,0,3
2014,12,williams,150.0,0,4
2014,12,mclaren,105.0,0,5
2014,12,force_india,103.0,0,6
2014,12,toro_rosso,19.0,0,7
2014,12,lotus_f1,8.0,0,8
2014,12,marussia,2.0,0,9
2014,12,sauber,0.0,0,10
2014,12,caterham,0.0,0,11
2014,13,mercedes,454.0,10,1
2014,13,red_bull,272.0,3,2
2014,13,williams,177.0,0,3
2014,13,ferrari,162.0,0,4
2014,13,mclaren,110.0,0,5
2014,13,force_india,109.0,0,6
2014,13,toro_rosso,19.0,0,7
2014,13,lotus_f1,8.0,0,8
2014,13,marussia,2.0,0,9
2014,13,sauber,0.0,0,10
2014,13,caterham,0.0,0,11
2014,14,mercedes,479.0,11,1
2014,14,red_bull,305.0,3,2
2014,14,williams,187.0,0,3
2014,14,ferrari,178.0,0,4
2014,14,force_india,117.0,0,5
2014,14,mclaren,111.0,0,6
2014,14,toro_rosso,27.0,0,7
2014,14,lotus_f1,8.0,0,8
2014,14,marussia,2.0,0,9
2014,14,sauber,0.0,0,10
2014,14,caterham,0.0,0,11
2014,15,mercedes,522.0,12,1
2014,15,red_bull,332.0,3,2
2014,15,williams,201.0,0,3
2014,15,ferrari,178.0,0,4
2014,15,force_india,122.0,0,5
2014,15,mclaren,121.0,0,6
2014,15,toro_rosso,29.0,0,7
2014,15,lotus_f1,8.0,0,8
2014,15,marussia,2.0,0,9
2014,15,sauber,0.0,0,10
2014,15,caterham,0.0,0,11
2014,16,mercedes,565.0,13,1
2014,16,red_bull,342.0,3,2
2014,16,williams,216.0,0,3
2014,16,ferrari,188.0,0,4
2014,16,mclaren,143.0,0,5
2014,16,force_india,123.0,0,6
2014,16,toro_rosso,29.0,0,7
2014,16,lotus_f1,8.0,0,8
2014,16,marussia,2.0,0,9
2014,16,sauber,0.0,0,10
2014,16,caterham,0.0,0,11
2014,17,mercedes,608.0,14,1
2014,17,red_bull,363.0,3,2
2014,17,williams,238.0,0,3
2014,17,ferrari,196.0,0,4
2014,17,mclaren,147.0,0,5
2014,17,force_india,123.0,0,6
2014,17,toro_rosso,30.0,0,7
2014,17,lotus_f1,10.0,0,8
2014,17,marussia,2.0,0,9
2014,17,sauber,0.0,0,10
2014,17,caterham,0.0,0,11
2014,18,mercedes,651.0,15,1
2014,18,red_bull,373.0,3,2
2014,18,williams,254.0,0,3
2014,18,ferrari,210.0,0,4
2014,18,mclaren,161.0,0,5
2014,18,force_india,127.0,0,6
2014,18,toro_rosso,30.0,0,7
2014,18,lotus_f1,10.0,0,8
2014,18,marussia,2.0,0,9
2014,18,sauber,0.0,0,10
2014,18,caterham,0.0,0,11
2014,19,mercedes,701.0,16,1
2014,19,red_bull,405.0,3,2
2014,19,williams,320.0,0,3
2014,19,ferrari,216.0,0,4
2014,19,mclaren,181.0,0,5
2014,19,force_india,155.0,0,6
2014,19,toro_rosso,30.0,0,7
2014,19,lotus_f1,10.0,0,8
2014,19,marussia,2.0,0,9
2014,19,sauber,0.0,0,10
2014,19,caterham,0.0,0,11
2015,1,mercedes,43.0,1,1
2015,1,ferrari,15.0,0,2
2015,1,sauber,14.0,0,3
2015,1,williams,12.0,0,4
2015,1,red_bull,8.0,0,5
2015,1,force_india,7.0,0,6
2015,1,toro_rosso,2.0,0,7
2015,1,mclaren,0.0,0,8
2015,1,lotus_f1,0.0,0,9
2015,2,mercedes,76.0,1,1
2015,2,ferrari,52.0,1,2
2015,2,williams,30.0,0,3
2015,2,sauber,14.0,0,4
2015,2,toro_rosso,12.0,0,5
2015,2,red_bull,11.0,0,6
2015,2,force_india,7.0,0,7
2015,2,lotus_f1,0.0,0,8
2015,2,mclaren,0.0,0,9
2015,2,manor,0.0,0,10
2015,3,mercedes,119.0,2,1
2015,3,ferrari,79.0,1,2
2015,3,williams,48.0,0,3
2015,3,sauber,19.0,0,4
2015,3,red_bull,13.0,0,5
2015,3,toro_rosso,12.0,0,6
2015,3,force_india,7.0,0,7
2015,3,lotus_f1,6.0,0,8
2015,3,mclaren,0.0,0,9
2015,3,manor,0.0,0,10
2015,4,mercedes,159.0,3,1
2015,4,ferrari,107.0,1,2
2015,4,williams,61.0,0,3
2015,4,red_bull,23.0,0,4
2015,4,sauber,19.0,0,5
2015,4,lotus_f1,12.0,0,6
2015,4,toro_rosso,12.0,0,7
2015,4,force_india,11.0,0,8
2015,4,mclaren,0.0,0,9
2015,4,manor,0.0,0,10
2015,5,mercedes,202.0,4,1
2015,5,ferrari,132.0,1,2
2015,5,williams,81.0,0,3
2015,5,red_bull,30.0,0,4
2015,5,sauber,19.0,0,5
2015,5,lotus_f1,16.0,0,6
2015,5,toro_rosso,14.0,0,7
2015,5,force_india,11.0,0,8
2015,5,mclaren,0.0,0,9
2015,5,manor,0.0,0,10
2015,6,mercedes,242.0,5,1
2015,6,ferrari,158.0,1,2
2015,6,williams,81.0,0,3
2015,6,red_bull,52.0,0,4
2015,6,sauber,21.0,0,5
2015,6,force_india,17.0,0,6
2015,6,lotus_f1,16.0,0,7
2015,6,toro_rosso,15.0,0,8
2015,6,mclaren,4.0,0,9
2015,6,manor,0.0,0,10
2015,7,mercedes,285.0,6,1
2015,7,ferrari,180.0,1,2
2015,7,williams,104.0,0,3
2015,7,red_bull,54.0,0,4
2015,7,lotus_f1,23.0,0,5
2015,7,sauber,21.0,0,6
2015,7,force_india,21.0,0,7
2015,7,toro_rosso,15.0,0,8
2015,7,mclaren,4.0,0,9
2015,7,manor,0.0,0,10
2015,8,mercedes,328.0,7,1
2015,8,ferrari,192.0,1,2
2015,8,williams,129.0,0,3
2015,8,red_bull,55.0,0,4
2015,8,force_india,31.0,0,5
2015,8,lotus_f1,29.0,0,6
2015,8,sauber,21.0,0,7
2015,8,toro_rosso,19.0,0,8
2015,8,mclaren,4.0,0,9
2015,8,manor,0.0,0,10
2015,9,mercedes,371.0,8,1
2015,9,ferrari,211.0,1,2
2015,9,williams,151.0,0,3
2015,9,red_bull,63.0,0,4
2015,9,force_india,39.0,0,5
2015,9,lotus_f1,29.0,0,6
2015,9,sauber,21.0,0,7
2015,9,toro_rosso,19.0,0,8
2015,9,mclaren,5.0,0,9
2015,9,manor,0.0,0,10
2015,10,mercedes,383.0,8,1
2015,10,ferrari,236.0,2,2
2015,10,williams,151.0,0,3
2015,10,red_bull,96.0,0,4
2015,10,force_india,39.0,0,5
2015,10,lotus_f1,35.0,0,6
2015,10,toro_rosso,31.0,0,7
2015,10,sauber,22.0,0,8
2015,10,mclaren,17.0,0,9
2015,10,manor,0.0,0,10
2015,11,mercedes,426.0,9,1
2015,11,ferrari,242.0,2,2
2015,11,williams,161.0,0,3
2015,11,red_bull,108.0,0,4
2015,11,lotus_f1,50.0,0,5
2015,11,force_india,49.0,0,6
2015,11,toro_rosso,35.0,0,7
2015,11,sauber,23.0,0,8
2015,11,mclaren,17.0,0,9
2015,11,manor,0.0,0,10
2015,12,mercedes,451.0,10,1
2015,12,ferrari,270.0,2,2
2015,12,williams,188.0,0,3
2015,12,red_bull,113.0,0,4
2015,12,force_india,63.0,0,5
2015,12,lotus_f1,50.0,0,6
2015,12,toro_rosso,35.0,0,7
2015,12,sauber,25.0,0,8
2015,12,mclaren,17.0,0,9
2015,12,manor,0.0,0,10
2015,13,mercedes,463.0,10,1
2015,13,ferrari,310.0,3,2
2015,13,williams,198.0,0,3
2015,13,red_bull,139.0,0,4
2015,13,force_india,69.0,0,5
2015,13,lotus_f1,50.0,0,6
2015,13,toro_rosso,41.0,0,7
2015,13,sauber,26.0,0,8
2015,13,mclaren,17.0,0,9
2015,13,manor,0.0,0,10
2015,14,mercedes,506.0,11,1
2015,14,ferrari,337.0,3,2
2015,14,williams,208.0,0,3
2015,14,red_bull,139.0,0,4
2015,14,force_india,77.0,0,5
2015,14,lotus_f1,60.0,0,6
2015,14,toro_rosso,44.0,0,7
2015,14,sauber,26.0,0,8
2015,14,mclaren,17.0,0,9
2015,14,manor,0.0,0,10
2015,15,mercedes,531.0,12,1
2015,15,ferrari,359.0,3,2
2015,15,williams,220.0,0,3
2015,15,red_bull,149.0,0,4
2015,15,force_india,92.0,0,5
2015,15,lotus_f1,66.0,0,6
2015,15,toro_rosso,45.0,0,7
2015,15,sauber,34.0,0,8
2015,15,mclaren,19.0,0,9
2015,15,manor,0.0,0,10
2015,16,mercedes,574.0,13,1
2015,16,ferrari,374.0,3,2
2015,16,williams,220.0,0,3
2015,16,red_bull,150.0,0,4
2015,16,force_india,102.0,0,5
2015,16,lotus_f1,70.0,0,6
2015,16,toro_rosso,63.0,0,7
2015,16,sauber,36.0,0,8
2015,16,mclaren,27.0,0,9
2015,16,manor,0.0,0,10
2015,17,mercedes,617.0,14,1
2015,17,ferrari,374.0,3,2
2015,17,williams,243.0,0,3
2015,17,red_bull,172.0,0,4
2015,17,force_india,112.0,0,5
2015,17,lotus_f1,71.0,0,6
2015,17,toro_rosso,65.0,0,7
2015,17,sauber,36.0,0,8
2015,17,mclaren,27.0,0,9
2015,17,manor,0.0,0,10
2015,18,mercedes,660.0,15,1
2015,18,ferrari,401.0,3,2
2015,18,williams,253.0,0,3
2015,18,red_bull,178.0,0,4
2015,18,force_india,120.0,0,5
2015,18,lotus_f1,76.0,0,6
2015,18,toro_rosso,67.0,0,7
2015,18,sauber,36.0,0,8
2015,18,mclaren,27.0,0,9
2015,18,manor,0.0,0,10
2015,19,mercedes,703.0,16,1
2015,19,ferrari,428.0,3,2
2015,19,williams,257.0,0,3
2015,19,red_bull,187.0,0,4
2015,19,force_india,136.0,0,5
2015,19,lotus_f1,78.0,0,6
2015,19,toro_rosso,67.0,0,7
2015,19,sauber,36.0,0,8
2015,19,mclaren,27.0,0,9
2015,19,manor,0.0,0,10
2016,1,mercedes,43.0,1,1
2016,1,ferrari,15.0,0,2
2016,1,williams,14.0,0,3
2016,1,red_bull,12.0,0,4
2016,1,haas,8.0,0,5
2016,1,force_india,6.0,0,6
2016,1,toro_rosso,3.0,0,7
2016,1,renault,0.0,0,8
2016,1,mclaren,0.0,0,9
2016,1,sauber,0.0,0,10
2016,1,manor,0.0,0,11
2016,2,mercedes,83.0,2,1
2016,2,ferrari,33.0,0,2
2016,2,red_bull,30.0,0,3
2016,2,williams,20.0,0,4
2016,2,haas,18.0,0,5
2016,2,toro_rosso,11.0,0,6
2016,2,force_india,6.0,0,7
2016,2,mclaren,1.0,0,8
2016,2,renault,0.0,0,9
2016,2,sauber,0.0,0,10
2016,2,manor,0.0,0,11
2016,3,mercedes,114.0,3,1
2016,3,ferrari,61.0,0,2
2016,3,red_bull,57.0,0,3
2016,3,williams,29.0,0,4
2016,3,haas,18.0,0,5
2016,3,toro_rosso,17.0,0,6
2016,3,force_india,6.0,0,7
2016,3,mclaren,1.0,0,8
2016,3,renault,0.0,0,9
2016,3,sauber,0.0,0,10
2016,3,manor,0.0,0,11
2016,4,mercedes,157.0,4,1
2016,4,ferrari,76.0,0,2
2016,4,red_bull,57.0,0,3
2016,4,williams,51.0,0,4
2016,4,haas,22.0,0,5
2016,4,toro_rosso,17.0,0,6
2016,4,mclaren,10.0,0,7
2016,4,force_india,8.0,0,8
2016,4,renault,6.0,0,9
2016,4,sauber,0.0,0,10
2016,4,manor,0.0,0,11
2016,5,mercedes,157.0,4,1
2016,5,ferrari,109.0,0,2
2016,5,red_bull,94.0,1,3
2016,5,williams,65.0,0,4
2016,5,toro_rosso,26.0,0,5
2016,5,haas,22.0,0,6
2016,5,force_india,14.0,0,7
2016,5,mclaren,12.0,0,8
2016,5,renault,6.0,0,9
2016,5,sauber,0.0,0,10
2016,5,manor,0.0,0,11
2016,6,mercedes,188.0,5,1
2016,6,ferrari,121.0,0,2
2016,6,red_bull,112.0,1,3
2016,6,williams,66.0,0,4
2016,6,force_india,37.0,0,5
2016,6,toro_rosso,30.0,0,6
2016,6,mclaren,24.0,0,7
2016,6,haas,22.0,0,8
2016,6,renault,6.0,0,9
2016,6,sauber,0.0,0,10
2016,6,manor,0.0,0,11
2016,7,mercedes,223.0,6,1
2016,7,ferrari,147.0,0,2
2016,7,red_bull,130.0,1,3
2016,7,williams,81.0,0,4
2016,7,force_india,42.0,0,5
2016,7,toro_rosso,32.0,0,6
2016,7,mclaren,24.0,0,7
2016,7,haas,22.0,0,8
2016,7,renault,6.0,0,9
2016,7,sauber,0.0,0,10
2016,7,manor,0.0,0,11
2016,8,mercedes,258.0,7,1
2016,8,ferrari,177.0,0,2
2016,8,red_bull,140.0,1,3
2016,8,williams,90.0,0,4
2016,8,force_india,59.0,0,5
2016,8,toro_rosso,32.0,0,6
2016,8,mclaren,24.0,0,7
2016,8,haas,22.0,0,8
2016,8,renault,6.0,0,9
2016,8,sauber,0.0,0,10
2016,8,manor,0.0,0,11
2016,9,mercedes,295.0,8,1
2016,9,ferrari,192.0,0,2
2016,9,red_bull,168.0,1,3
2016,9,williams,92.0,0,4
2016,9,force_india,59.0,0,5
2016,9,toro_rosso,36.0,0,6
2016,9,mclaren,32.0,0,7
2016,9,haas,28.0,0,8
2016,9,renault,6.0,0,9
2016,9,manor,1.0,0,10
2016,9,sauber,0.0,0,11
2016,10,mercedes,335.0,9,1
2016,10,ferrari,204.0,0,2
2016,10,red_bull,198.0,1,3
2016,10,williams,92.0,0,4
2016,10,force_india,73.0,0,5
2016,10,toro_rosso,41.0,0,6
2016,10,mclaren,32.0,0,7
2016,10,haas,28.0,0,8
2016,10,renault,6.0,0,9
2016,10,manor,1.0,0,10
2016,10,sauber,0.0,0,11
2016,11,mercedes,378.0,10,1
2016,11,ferrari,224.0,0,2
2016,11,red_bull,223.0,1,3
2016,11,williams,94.0,0,4
2016,11,force_india,74.0,0,5
2016,11,toro_rosso,45.0,0,6
2016,11,mclaren,38.0,0,7
2016,11,haas,28.0,0,8
2016,11,renault,6.0,0,9
2016,11,manor,1.0,0,10
2016,11,sauber,0.0,0,11
2016,12,mercedes,415.0,11,1
2016,12,red_bull,256.0,1,2
2016,12,ferrari,242.0,0,3
2016,12,williams,96.0,0,4
2016,12,force_india,81.0,0,5
2016,12,toro_rosso,45.0,0,6
2016,12,mclaren,42.0,0,7
2016,12,haas,28.0,0,8
2016,12,renault,6.0,0,9
2016,12,manor,1.0,0,10
2016,12,sauber,0.0,0,11
2016,13,mercedes,455.0,12,1
2016,13,red_bull,274.0,1,2
2016,13,ferrari,252.0,0,3
2016,13,force_india,103.0,0,4
2016,13,williams,101.0,0,5
2016,13,mclaren,48.0,0,6
2016,13,toro_rosso,45.0,0,7
2016,13,haas,28.0,0,8
2016,13,renault,6.0,0,9
2016,13,manor,1.0,0,10
2016,13,sauber,0.0,0,11
2016,14,mercedes,498.0,13,1
2016,14,red_bull,290.0,1,2
2016,14,ferrari,279.0,0,3
2016,14,williams,111.0,0,4
2016,14,force_india,108.0,0,5
2016,14,mclaren,48.0,0,6
2016,14,toro_rosso,45.0,0,7
2016,14,haas,28.0,0,8
2016,14,renault,6.0,0,9
2016,14,manor,1.0,0,10
2016,14,sauber,0.0,0,11
2016,15,mercedes,538.0,14,1
2016,15,red_bull,316.0,1,2
2016,15,ferrari,301.0,0,3
2016,15,force_india,112.0,0,4
2016,15,williams,111.0,0,5
2016,15,mclaren,54.0,0,6
2016,15,toro_rosso,47.0,0,7
2016,15,haas,28.0,0,8
2016,15,renault,7.0,0,9
2016,15,manor,1.0,0,10
2016,15,sauber,0.0,0,11
2016,16,mercedes,553.0,14,1
2016,16,red_bull,359.0,2,2
2016,16,ferrari,313.0,0,3
2016,16,force_india,124.0,0,4
2016,16,williams,121.0,0,5
2016,16,mclaren,62.0,0,6
2016,16,toro_rosso,47.0,0,7
2016,16,haas,28.0,0,8
2016,16,renault,8.0,0,9
2016,16,manor,1.0,0,10
2016,16,sauber,0.0,0,11
2016,17,mercedes,593.0,15,1
2016,17,red_bull,385.0,2,2
2016,17,ferrari,335.0,0,3
2016,17,force_india,134.0,0,4
2016,17,williams,124.0,0,5
2016,17,mclaren,62.0,0,6
2016,17,toro_rosso,47.0,0,7
2016,17,haas,28.0,0,8
2016,17,renault,8.0,0,9
2016,17,manor,1.0,0,10
2016,17,sauber,0.0,0,11
2016,18,mercedes,636.0,16,1
2016,18,red_bull,400.0,2,2
2016,18,ferrari,347.0,0,3
2016,18,force_india,138.0,0,4
2016,18,williams,130.0,0,5
2016,18,mclaren,74.0,0,6
2016,18,toro_rosso,55.0,0,7
2016,18,haas,29.0,0,8
2016,18,renault,8.0,0,9
2016,18,manor,1.0,0,10
2016,18,sauber,0.0,0,11
2016,19,mercedes,679.0,17,1
2016,19,red_bull,427.0,2,2
2016,19,ferrari,365.0,0,3
2016,19,force_india,145.0,0,4
2016,19,williams,136.0,0,5
2016,19,mclaren,74.0,0,6
2016,19,toro_rosso,55.0,0,7
2016,19,haas,29.0,0,8
2016,19,renault,8.0,0,9
2016,19,manor,1.0,0,10
2016,19,sauber,0.0,0,11
2016,20,mercedes,722.0,18,1
2016,20,red_bull,446.0,2,2
2016,20,ferrari,375.0,0,3
2016,20,force_india,163.0,0,4
2016,20,williams,136.0,0,5
2016,20,mclaren,75.0,0,6
